,P/B,P/E,NCAV,Share Price,Company,Optimality,Model Predictions
0,55.85654,322.662037037037,73733000000.0,278.78,AAPL,0,0
1,6.636308,600.8638743455497,346371000000.0,229.53,AMZN,1,2
2,10.054943,976.0303030303028,353598000000.0,322.09,GOOG,2,3
3,9.892711,3865.28,222343000000.0,483.16,MSFT,3,1
