ticker
ZBH
PSA
PKG
DOW
LIN
XYL
COF
DOV
LYV
INTU
EPAM
CI
CCL
SNPS
WRB
GD
SPG
MCO
CBOE
KMB
BKNG
CCI
D
CHTR
SYY
ODFL
AMT
JBHT
FITB
NCLH
RF
ESS
DE
LRCX
LH
FDS
HSIC
KKR
ED
GPN
KHC
GWW
AES
CAG
KVUE
RMD
NTRS
ADBE
CPB
REGN
