Date,AAPL,AIZ,ALGN,APP,AWK,BG,BMY,BX,CAG,CHD,CHRW,CME,CNP,CPT,CVX,DD,DOC,DPZ,DVA,ED,EL,FAST,FITB,GEV,GS,HLT,HOLX,HON,IVZ,JBL,K,MA,MMM,MOH,NRG,NUE,NXPI,OTIS,PANW,PLTR,QCOM,RTX,SO,TFC,TRV,URI,WBD,WST,WTW,WY
2015-01-02,24.237548828125,54.481414794921875,56.20000076293945,,43.403202056884766,66.584228515625,41.7939567565918,19.624439239501953,19.117534637451172,34.13643264770508,56.938148498535156,58.087562561035156,16.136940002441406,49.59264373779297,70.20954895019531,20.967384338378906,22.85352325439453,83.78247833251953,75.83000183105469,44.4278564453125,65.71788024902344,8.841499328613281,14.00589656829834,,156.3738250732422,50.33695983886719,26.3799991607666,71.67829895019531,24.11808967590332,19.691659927368164,42.692787170410156,80.10567474365234,96.10855102539062,52.43000030517578,21.506589889526367,37.831024169921875,68.56221771240234,,20.23666763305664,,54.33495330810547,55.769691467285156,30.94065284729004,25.189048767089844,83.09918212890625,100.32726287841797,34.47999954223633,49.73777389526367,100.00521850585938,23.50397300720215
2015-01-05,23.554738998413086,53.25946044921875,56.9900016784668,,42.73533630371094,65.23296356201172,41.14081954956055,19.336950302124023,18.909381866455078,33.75661087036133,54.439788818359375,58.41706085205078,15.624771118164062,49.394920349121094,67.40316772460938,20.318910598754883,23.082820892333984,84.83098602294922,74.69999694824219,44.00593566894531,64.92672729492188,8.690410614013672,13.583155632019043,,151.49139404296875,48.70691680908203,26.1200008392334,70.3123550415039,23.415618896484375,19.372867584228516,41.897369384765625,77.8524398803711,93.94104766845703,51.43000030517578,20.685426712036133,36.3875732421875,67.83917236328125,,20.621667861938477,,54.07892990112305,54.83891296386719,30.80905532836914,24.393938064575195,82.09827423095703,89.34442901611328,33.060001373291016,49.05121994018555,99.28685760498047,23.50397300720215
2015-01-06,23.55695915222168,52.51984786987305,57.45000076293945,,42.84798812866211,64.61941528320312,41.07059097290039,18.96320343017578,18.722585678100586,33.476070404052734,53.730377197265625,57.52737808227539,15.276490211486816,49.83647918701172,67.37198638916016,19.992372512817383,23.521032333374023,83.78247833251953,73.62000274658203,44.25372314453125,64.32685852050781,8.541187286376953,13.035673141479492,,148.4268341064453,48.26061248779297,25.75,70.14791870117188,22.928823471069336,19.145166397094727,42.0212516784668,77.6841812133789,92.9393081665039,50.36000061035156,20.41953468322754,35.8626708984375,64.60790252685547,,20.308332443237305,,53.310882568359375,54.06325912475586,31.17881202697754,23.918184280395508,81.36530303955078,86.57450866699219,31.979999542236328,48.21208572387695,98.79301452636719,23.477937698364258
2015-01-07,23.88727569580078,52.72886657714844,59.56999969482422,,43.395145416259766,64.95538330078125,41.60433578491211,19.23344612121582,19.165563583374023,33.85157012939453,53.75352478027344,58.192962646484375,15.474530220031738,51.20728302001953,67.31584167480469,19.960174560546875,24.020401000976562,86.63475036621094,74.29000091552734,44.910037994384766,64.62244415283203,8.4852294921875,13.181207656860352,,150.6387939453125,49.03679656982422,26.399999618530273,70.65567779541016,23.230758666992188,19.509492874145508,43.03836441040039,78.8926010131836,93.61299133300781,50.459999084472656,20.51338005065918,36.194576263427734,66.34852600097656,,20.921667098999023,,53.93264389038086,54.649845123291016,31.523500442504883,24.237533569335938,82.75240325927734,85.79003143310547,32.209999084472656,48.99399948120117,100.20726776123047,23.549535751342773
2015-01-08,24.805082321166992,53.516700744628906,61.439998626708984,,43.564125061035156,66.14595031738281,42.64373016357422,19.382946014404297,19.581865310668945,34.52058410644531,56.167049407958984,58.46320343017578,15.843295097351074,50.6734733581543,68.85624694824219,20.45688247680664,23.699382781982422,89.54924011230469,75.7699966430664,45.191314697265625,65.55268859863281,8.677353858947754,13.479203224182129,,153.04383850097656,50.395172119140625,27.110000610351562,71.94290161132812,23.637451171875,20.019546508789062,43.82075881958008,80.11970520019531,95.85661315917969,51.5099983215332,20.96696662902832,37.07454299926758,69.48160552978516,,21.20166778564453,,54.50321960449219,55.580650329589844,31.548582077026367,24.641592025756836,84.47048950195312,87.62052154541016,32.470001220703125,49.95711135864258,101.35208129882812,23.80338478088379
2015-01-09,24.83168601989746,53.33179473876953,62.58000183105469,,43.69286346435547,65.342529296875,42.362815856933594,19.67043685913086,19.341690063476562,34.40835189819336,55.56557846069336,58.51591110229492,15.508674621582031,51.18093490600586,67.48422241210938,20.424692153930664,23.7248592376709,89.30045318603516,75.22000122070312,44.95691680908203,65.11798095703125,8.578495979309082,13.1188325881958,,150.69509887695312,49.89064025878906,26.760000228881836,70.74859619140625,23.199947357177734,19.810054779052734,43.31219482421875,79.09868621826172,94.67916870117188,50.86000061035156,21.225048065185547,36.88157272338867,71.69535064697266,,20.969999313354492,,54.4373664855957,55.275211334228516,31.147464752197266,24.002910614013672,83.40652465820312,86.47767639160156,32.029998779296875,49.38497543334961,100.45416259765625,23.770835876464844
2015-01-12,24.219816207885742,53.074554443359375,63.16999816894531,,43.55607604980469,64.88964080810547,43.66910171508789,19.750940322875977,19.042814254760742,34.30908966064453,56.213321685791016,57.73826599121094,15.542824745178223,51.87950897216797,66.0311508178711,20.30511474609375,24.101926803588867,90.73992156982422,74.41999816894531,44.80287551879883,64.56158447265625,8.516937255859375,12.917855262756348,,148.86122131347656,49.3861083984375,28.729999542236328,70.40535736083984,23.064388275146484,19.56414222717285,42.692787170410156,78.08697509765625,94.16365051269531,50.130001068115234,20.873123168945312,35.507591247558594,71.72209930419922,,21.213333129882812,,53.81560516357422,55.483673095703125,31.15374755859375,23.781322479248047,82.91004943847656,83.07820892333984,31.639999389648438,49.47077560424805,99.5562515258789,23.80338478088379
2015-01-13,24.434856414794922,53.074554443359375,62.650001525878906,,43.652645111083984,65.6492919921875,44.32926559448242,19.59569549560547,19.117534637451172,34.38677978515625,56.76080322265625,57.421905517578125,15.4608736038208,51.00297927856445,64.98343658447266,20.05675506591797,24.056074142456055,90.36672973632812,74.54000091552734,44.715824127197266,64.78762817382812,8.557974815368652,12.827766418457031,,148.7485809326172,49.774208068847656,28.780000686645508,70.90594482421875,23.002765655517578,19.473058700561523,43.01227569580078,78.26495361328125,94.0933609008789,51.779998779296875,21.021711349487305,35.245147705078125,70.73129272460938,,20.791667938232422,,53.3766975402832,55.43034744262695,31.134946823120117,23.742216110229492,83.0361099243164,83.10728454589844,31.209999084472656,50.04294204711914,99.6684799194336,23.881484985351562
2015-01-14,24.34174919128418,52.67259979248047,61.060001373291016,,44.425113677978516,65.61278533935547,44.20987319946289,19.52094268798828,18.95208168029785,34.60257339477539,56.267295837402344,56.02476501464844,15.44721508026123,51.404998779296875,64.79635620117188,19.97397232055664,24.326133728027344,87.88764190673828,74.69000244140625,45.198001861572266,64.43986511230469,8.38077163696289,12.61985969543457,,144.96812438964844,50.31755065917969,28.989999771118164,70.57699584960938,22.52212905883789,19.245357513427734,43.50780487060547,78.18067169189453,93.63642883300781,50.279998779296875,21.09209442138672,34.280277252197266,71.47216796875,,21.049999237060547,,52.82809829711914,55.032814025878906,31.454553604125977,23.240392684936523,81.78302001953125,81.35427856445312,30.0,49.232391357421875,98.79301452636719,23.718769073486328
2015-01-15,23.68110466003418,51.981231689453125,59.630001068115234,,44.45730209350586,66.14595031738281,43.2828483581543,19.244945526123047,19.395061492919922,34.88313293457031,55.912601470947266,55.93248748779297,15.474530220031738,51.9651985168457,64.02926635742188,19.918787002563477,24.540143966674805,86.03944396972656,74.45999908447266,45.787330627441406,64.08341979980469,8.205436706542969,12.488184928894043,,143.56857299804688,49.67718505859375,28.760000228881836,69.44705200195312,22.140087127685547,18.78084373474121,44.16631317138672,77.04719543457031,93.53097534179688,49.869998931884766,20.779272079467773,34.12590408325195,68.38370513916016,,20.34666633605957,,52.21363830566406,55.032814025878906,31.836856842041016,23.136117935180664,82.12979125976562,80.49232482910156,29.469999313354492,48.46957015991211,98.54611206054688,23.673206329345703
