,P/B,P/E,NCAV,Share Price,Company,Optimality
0,55.870567,322.7430555555556,73733000000.0,278.85,AAPL,0
1,6.7429957,610.5235602094241,346371000000.0,233.22,AMZN,1
2,9.9934435,970.060606060606,353598000000.0,320.12,GOOG,2
3,10.073915,3936.08,222343000000.0,492.01,MSFT,3
