,P/E,P/B,D/E,FCF,Recommended
Apple,149.6092541634936,51.44947280562741,1.5711479696087425,25963000.0,True
Amazon,87.2456781946536,7.195131909344772,0.0,16036400.0,False
Google,132.37400676857462,8.082657372321936,0.0,4228400.0,True
