,P/B,P/E,NCAV,Total Debt,Tangible Book Value,Net Debt,Stockholder's Equity,Current Liabilities,Share Price,Company,Optimality,Model Predictions
0,9.7483835,946.2727272727273,353598000000.0,353598000000.0,353598000000.0,353598000000.0,386867000000.0,99550000000.0,312.27,GOOG,0,4
1,55.593063,321.14004629629625,73733000000.0,73733000000.0,73733000000.0,73733000000.0,-5571000000.0,12350000000.0,277.465,AAPL,0,1
2,6.572122,595.0523560209424,346371000000.0,346371000000.0,346371000000.0,346371000000.0,369631000000.0,21113000000.0,227.31,AMZN,0,0
3,10.050573,3926.96,222343000000.0,222343000000.0,222343000000.0,222343000000.0,363076000000.0,22741000000.0,490.87,MSFT,0,3
4,8.694401,-809.304715840387,172908000000.0,172908000000.0,172908000000.0,172908000000.0,194066000000.0,2113000000.0,669.295,META,1,2
